 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 Safdarjang Hyundai,4.0, 26 ,2015,99999999,0,0,http://www.safdarjang.com
 Fair Deal Cars Pvt Ltd,3.5, 9 ,2016,99999999,0,0,none
 Vertex Nissan,3.9, 9 ,2015,99999999,0,0,none
 Bloom Cars,4.0, 14 ,2016,99999999,0,0,http://www.bloomcars.co.in
 Sunrise Auto Tech Pvt Ltd,4.3, 7 ,2015,99999999,0,0,none
 Unity Hyundai,0, 0 ,2016,99999999,0,0,http://www.unityhyundai.com
 D D Nexa,5.0, 1 ,2017,99999999,0,0,http://www.ddnexa.com
 Neo Vehicleaid Pvt Ltd,3.9, 61 ,2011,99999999,0,0,http://www.neonissan.co.in
 Triumph Hyundai,4.1, 34 ,2014,99999999,0,0,none
 Satman Automobiles,3.3, 105 ,2012,99999999,0,0,none
 Aristo Motor Pvt Ltd,2.8, 39 ,NA,99999999,0,0,http://www.aristomotor.com
 Jaguar Land Rover Shiva Motocorp,4.0, 7 ,NA,99999999,0,0,none
 Pawan Motors,4.1, 61 ,NA,99999999,0,0,none
 THE SAHIBA INTERNATIONAL,3.7, 81 ,2000,99999999,0,0,none
 Crystal Renault,3.7, 82 ,2012,99999999,0,0,http://www.crystalrenault.com
 Fair Deal Cars Pvt Ltd,3.8, 22 ,NA,99999999,0,0,none
 Tanish Ford,3.8, 20 ,NA,99999999,0,0,http://www.tanishford.in
 M R Hyundai,3.6, 8 ,2011,99999999,0,0,none
 Bhagwati Motors,3.8, 73 ,1983,99999999,0,0,none
 Harish Motors & Finance,3.9, 40 ,1990,99999999,0,0,none
 AMP Motors,4.1, 338 ,2009,99999999,0,0,http://www.amp-group.in
 Him Motors Pvt Ltd,3.8, 167 ,2002,99999999,0,0,none
 CHERISH HONDA,5.0, 1 ,2016,99999999,0,0,http://www.cherishhonda.com
 K Car Kunj Pvt Ltd,4.0, 103 ,1990,99999999,0,0,none
 Libra Autohaus,5.0, 2 ,2016,99999999,0,0,http://www.bmw-libraautohaus.in
 Globus Motocorp Pvt Ltd,3.8, 305 ,2012,99999999,0,0,http://www.globuschevrolet.co.in
 Rachna Motors,4.1, 127 ,NA,99999999,0,0,none
 Arya Motors Pvt Ltd,3.6, 5 ,2015,99999999,0,0,http://www.aryamotors.in
 Diljot Motors,3.7, 14 ,2007,99999999,0,0,none
 Magic Auto,3.9, 1598 ,2008,99999999,0,0,none
 Urmil Motors,2.7, 7 ,NA,99999999,0,0,none
